,1,2,3,4,5,6,7,8,19,9,11,12,13,14,15,17,18,131,132,90,91,92,133,140,141,142,22,23,24,25,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,56,60,61,62,63,70,71,72,73,74,80,81,82,83,84,85,100,101,102,103,110,111,112,113,114,115,120,121,122,123,124,125
text_00,131,9,2,0,2,0,0,0,0,7,16,5,20,15,3,27,19,9,15,2,9,3,1,16,3,14,7,0,16,13,16,10,4,0,0,1,6,0,0,0,0,31,16,1,6,8,2,7,8,4,1,1,12,5,1,0,6,32,4,11,24,0,2,75,13,34,30,31,5,11,1,8,0,124,0,115,6,0,3
text_01,1056,83,54,39,4,9,1,1,2,29,121,85,212,103,60,138,102,45,80,8,40,22,10,169,74,104,70,4,74,104,171,106,49,6,2,2,90,4,8,10,1,315,83,31,77,39,43,73,65,15,8,25,86,34,20,10,29,173,27,49,94,23,7,396,118,177,153,115,19,25,7,11,5,222,4,83,111,34,26
text_02,550,29,16,14,2,0,0,0,0,13,63,22,108,81,15,104,60,32,42,6,12,15,8,68,24,52,48,3,58,62,61,35,26,4,9,0,31,0,9,4,1,113,16,10,24,38,15,29,54,21,11,11,73,29,4,5,39,58,11,4,34,7,2,259,67,110,111,37,26,27,3,2,1,97,6,8,49,8,29
text_03,562,79,39,24,1,9,5,0,0,40,83,27,104,57,35,68,44,34,52,16,19,11,8,67,17,56,35,5,53,53,117,40,66,13,12,12,57,2,0,11,3,135,36,13,31,27,16,35,15,5,5,2,51,19,27,4,3,75,9,16,33,12,14,187,53,101,62,16,15,5,1,7,9,182,3,127,39,9,6
text_04,73,3,2,2,0,0,0,0,0,1,9,6,6,6,0,19,19,6,5,0,3,2,0,4,0,4,3,0,5,2,1,1,0,0,0,0,3,0,0,0,0,21,9,3,4,3,1,4,13,2,2,4,18,6,0,1,11,6,0,0,6,0,0,63,15,45,10,8,3,6,2,0,0,29,0,29,0,0,0
text_05,272,8,2,2,0,0,0,0,0,6,38,12,36,16,12,69,44,26,28,5,11,8,7,29,10,23,14,0,38,44,43,25,14,2,0,1,66,4,23,14,0,47,16,3,12,10,3,11,26,11,3,6,68,22,16,2,41,71,27,5,36,3,2,143,49,73,47,18,20,14,3,2,2,101,2,81,14,1,2
text_06,283,15,7,7,0,0,0,0,0,8,29,10,58,36,13,40,35,15,20,3,6,7,4,44,6,40,29,2,16,35,30,20,8,0,1,0,8,0,1,0,0,86,19,6,12,25,16,26,34,21,1,8,11,3,4,0,4,38,0,3,31,4,3,111,32,56,30,21,30,3,1,7,2,40,0,6,24,5,10
text_07,64,3,1,1,0,0,0,0,0,2,7,5,13,1,7,7,13,7,10,0,2,7,1,5,3,3,3,2,4,5,8,2,6,0,2,1,5,0,0,0,0,16,4,1,3,5,0,5,20,12,1,1,11,1,0,1,9,13,0,0,13,0,1,32,12,16,13,1,3,2,0,1,0,10,1,5,4,1,0
text_08,12,1,0,0,0,0,0,0,0,1,1,0,2,1,0,3,0,0,2,1,0,0,1,3,1,3,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,3,0,2,1,0,63,0,2,0,0,2,0,0,1,0,1
text_09,101,13,7,2,0,3,1,1,0,6,10,4,13,2,4,22,11,5,12,1,1,8,2,11,5,8,1,0,8,11,12,5,4,0,1,1,25,3,4,3,2,23,10,3,4,3,3,4,16,7,3,2,20,8,3,2,8,27,8,6,11,1,3,40,14,22,11,11,5,8,2,1,0,50,0,46,3,0,2
text_10,385,18,3,3,0,0,0,0,0,15,38,22,101,56,16,50,56,16,45,9,14,14,8,45,14,38,37,0,47,51,46,27,17,0,1,4,29,0,0,6,0,86,9,5,25,20,10,23,40,6,6,17,82,15,5,2,61,35,6,2,15,11,2,145,33,62,67,4,23,2,9,0,0,70,0,10,47,9,13
text_11,170,26,12,12,0,0,0,0,0,14,12,12,33,3,3,19,11,2,11,0,6,3,2,56,53,5,0,16,10,1,11,3,4,0,0,0,3,0,1,0,0,46,22,22,13,8,1,4,6,3,0,0,14,5,2,0,8,3,1,0,2,0,0,43,10,20,18,1,2,2,0,0,0,13,0,1,11,0,2
text_12,170,15,6,6,0,0,0,0,0,9,28,10,29,11,9,28,23,11,22,3,11,3,6,19,12,12,10,0,24,11,26,6,13,0,1,8,13,4,1,2,0,41,12,7,9,4,2,10,2,1,1,0,6,2,3,2,2,17,4,3,9,0,1,66,16,34,27,10,10,8,0,0,0,20,0,0,16,6,6
text_13,235,9,4,4,0,0,0,0,0,5,21,17,51,18,8,49,30,17,30,4,3,16,7,32,9,30,16,2,11,24,37,19,15,1,0,0,25,0,3,3,0,66,19,6,18,27,0,9,18,6,6,1,30,12,6,1,16,49,7,9,22,7,4,119,19,85,29,10,8,10,1,1,1,66,2,39,22,1,4
text_14,203,16,12,11,1,0,0,0,0,4,27,9,25,16,11,35,16,18,14,2,3,6,5,31,13,21,10,0,26,24,17,10,7,0,0,0,15,0,0,4,1,46,7,15,9,5,6,7,14,7,2,2,32,15,10,2,11,23,6,2,13,2,2,62,16,22,31,4,7,15,0,4,4,31,1,0,24,10,4
text_15,505,42,22,16,2,1,2,1,0,20,61,25,96,51,27,67,62,37,53,5,10,23,15,95,41,69,38,4,44,54,75,37,29,4,6,3,42,2,4,9,2,136,57,7,21,18,18,31,37,9,8,9,46,26,5,3,20,61,8,11,36,11,5,193,44,95,87,69,17,17,3,7,1,112,1,55,50,12,6
text_16,302,14,8,4,3,1,0,0,0,6,26,14,40,17,5,59,32,15,8,0,3,1,4,21,11,14,8,0,84,35,31,17,10,1,0,4,26,0,7,1,0,65,17,11,14,13,12,7,7,0,3,1,22,10,3,1,9,56,17,7,27,10,2,122,23,66,40,43,13,15,1,7,0,22,0,3,17,0,3
text_17,178,25,22,6,0,0,16,0,0,3,20,16,34,12,14,18,21,10,27,3,12,5,9,25,8,24,7,0,9,15,24,5,19,2,4,2,31,1,1,4,16,48,9,4,15,7,4,11,25,4,6,7,31,17,3,1,13,25,8,2,13,1,3,68,25,26,24,4,6,17,2,3,0,57,0,40,14,2,2
text_18,11,3,3,1,0,2,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,2,2,1,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,2,0,0,0,0,1,0,0,1,0,0
text_19,78,3,1,1,0,0,0,0,0,2,9,4,6,13,0,17,14,12,5,0,3,2,0,8,6,2,11,2,6,11,14,4,7,0,4,0,14,0,4,1,0,21,9,1,1,8,1,8,19,1,6,7,25,6,1,5,13,23,5,3,15,1,0,62,23,30,19,9,7,9,4,2,0,65,4,59,1,1,1
text_20,337,32,20,17,2,1,0,0,0,12,46,18,55,33,15,49,30,19,19,2,9,4,5,61,7,56,19,0,27,42,63,34,21,1,3,0,33,4,0,3,0,63,13,9,16,7,11,14,41,14,10,7,45,18,7,0,23,53,4,7,26,17,2,133,34,72,43,21,12,10,3,1,5,72,3,39,28,4,2
text_21,53,7,4,3,1,0,0,0,0,3,7,1,4,6,1,12,6,6,5,0,3,2,0,2,0,2,1,0,5,6,2,0,0,0,0,0,12,0,3,0,0,16,9,2,1,4,0,1,9,2,2,3,13,3,1,0,9,17,5,4,8,0,0,30,8,14,11,16,4,3,1,1,0,74,0,74,0,0,0
text_22,127,8,5,5,0,0,0,0,0,3,17,9,18,11,4,25,18,10,8,0,4,2,2,16,3,15,13,0,8,16,14,8,3,0,0,0,9,3,4,0,3,28,7,2,9,5,4,4,2,1,1,0,18,5,3,0,12,20,4,6,9,3,0,45,15,19,17,13,11,4,0,0,1,20,0,2,14,1,4
text_23,137,7,4,4,0,0,0,0,0,3,15,5,26,9,4,19,19,7,8,0,5,2,1,8,4,5,6,1,32,12,15,7,4,0,0,1,5,0,1,1,0,40,6,5,7,8,9,5,2,0,0,0,10,4,2,1,4,17,3,3,7,2,4,63,15,29,26,18,1,7,0,3,0,17,0,3,12,0,2
text_24,211,18,11,8,0,0,3,0,0,7,36,17,26,23,7,28,21,12,39,4,12,20,4,32,5,29,17,0,15,21,20,13,4,0,0,0,25,7,1,6,4,41,7,5,15,11,1,10,16,12,1,0,15,5,3,1,7,23,12,0,11,0,0,75,22,42,30,1,2,4,2,1,0,20,0,8,10,2,2
text_25,172,7,3,3,0,0,0,0,0,4,27,22,22,20,5,50,18,23,16,3,4,9,0,14,0,14,13,0,11,11,26,10,16,0,1,1,26,0,12,2,0,46,6,3,25,15,1,12,22,2,4,8,30,11,4,3,11,51,19,6,25,4,1,99,26,59,27,24,6,20,8,0,1,51,1,39,12,0,0
text_26,15,1,0,0,0,0,0,0,0,1,1,0,6,2,1,2,2,1,2,0,0,1,1,2,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,4,0,0,2,1,2
text_27,326,13,4,4,0,0,0,0,0,9,47,15,60,41,9,57,42,27,36,10,9,15,2,44,4,42,39,0,28,33,35,24,11,0,1,1,36,0,11,6,0,66,7,9,11,19,10,20,40,16,9,10,70,15,7,2,52,52,18,5,22,10,1,165,58,82,62,14,15,19,2,3,1,89,1,49,30,4,11
text_28,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,3,2,0,0,1,2,1,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,3,3,2,1,0,0,0,0,0,2,0,0,1,0,1
text_29,813,45,20,19,0,1,0,0,0,25,104,71,172,73,50,107,70,34,107,10,19,36,42,129,54,116,40,3,74,84,141,59,67,7,6,16,47,3,6,12,0,233,73,12,63,45,35,47,71,28,15,22,43,19,16,2,9,107,9,16,52,22,15,265,72,120,109,17,28,14,3,3,5,195,4,53,114,9,28
text_30,52,3,3,3,0,0,0,0,0,0,3,0,12,4,3,4,4,4,10,4,3,1,2,21,16,7,3,0,4,3,17,16,1,0,0,0,1,0,0,1,0,9,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,17,4,8,11,2,1,0,0,0,0,19,0,0,18,0,1
text_31,145,3,0,0,0,0,0,0,0,3,17,8,24,9,1,26,31,19,21,4,5,9,4,21,14,10,9,0,6,13,13,11,2,0,0,0,26,3,2,16,0,23,10,2,5,2,4,2,26,15,2,6,20,9,0,1,14,26,3,2,21,1,0,103,35,42,45,33,13,14,0,1,0,86,0,70,14,8,4
text_32,284,22,11,8,1,0,2,0,0,11,35,12,65,22,22,38,34,16,21,2,11,5,3,46,6,43,15,0,17,23,55,21,28,4,2,2,27,7,3,2,3,58,10,6,15,11,5,16,34,9,4,12,42,24,5,3,12,56,11,3,32,8,3,133,36,74,44,15,9,11,2,2,4,20,0,3,14,2,2
text_33,186,8,4,4,0,0,0,0,0,4,15,8,31,12,3,51,27,13,15,2,3,10,0,23,8,15,14,0,23,22,14,9,4,0,0,0,22,9,3,5,0,28,5,0,8,3,7,2,18,4,0,4,41,13,2,0,28,38,9,1,27,2,0,105,20,66,32,32,10,21,0,3,0,56,0,37,14,3,5
text_34,99,4,2,2,0,0,0,0,0,2,17,6,20,6,7,11,14,7,20,7,3,4,8,22,8,19,5,2,5,5,25,8,14,1,2,4,11,1,3,2,0,23,11,2,6,7,2,5,10,2,1,1,25,4,6,3,12,23,4,4,13,2,2,42,9,20,20,9,4,7,4,2,4,15,2,2,10,1,1
text_35,200,15,7,3,0,1,3,0,0,8,19,10,31,17,13,30,19,13,37,3,20,8,6,27,7,26,12,0,19,20,34,12,17,0,2,4,25,1,3,5,4,38,14,3,6,3,7,8,22,4,3,2,31,12,1,1,19,53,5,14,30,3,2,131,29,59,59,35,10,7,0,0,0,47,0,25,14,5,4
text_36,48,5,1,0,0,0,1,0,0,4,11,0,6,2,3,10,5,5,5,0,2,2,1,5,2,4,2,1,4,10,6,2,2,0,1,2,1,0,0,0,1,12,4,0,0,2,2,5,1,1,0,0,6,2,3,0,2,10,0,2,6,0,2,17,6,11,2,11,5,4,0,2,0,74,1,70,2,0,2
text_37,294,13,5,3,0,1,1,0,0,8,41,16,54,25,15,52,29,16,15,4,7,2,1,50,29,22,18,5,23,45,40,18,17,1,1,4,17,0,1,2,1,82,28,6,16,19,13,14,11,1,0,6,29,9,7,0,14,43,7,5,22,9,3,138,32,57,64,54,9,10,0,6,2,152,3,112,34,17,4
text_38,437,60,28,19,0,9,0,0,0,32,65,38,76,27,23,60,44,21,45,5,17,12,12,70,17,61,32,6,30,44,51,25,17,1,1,2,34,0,0,5,0,117,30,13,29,11,18,20,31,17,0,10,20,13,4,2,3,58,0,14,37,11,3,140,42,52,61,24,5,0,1,3,1,55,0,9,36,6,12
text_39,1030,114,70,21,1,9,38,1,1,44,153,64,207,103,54,144,92,55,124,25,32,27,46,184,67,155,58,8,67,84,140,48,71,6,17,5,120,5,3,5,38,244,80,29,39,46,38,59,132,45,39,32,69,40,11,5,19,118,11,6,68,23,14,369,144,203,100,19,26,40,0,9,4,161,1,20,108,16,36
text_40,85,1,0,0,0,0,0,0,0,1,12,3,6,4,2,35,9,4,4,0,1,3,0,3,0,3,2,0,14,11,3,2,1,0,0,0,2,0,0,1,0,9,2,0,0,1,0,3,4,0,0,1,14,6,1,0,7,11,3,0,6,2,0,67,15,40,19,6,4,14,0,1,0,38,0,37,0,1,0
text_41,723,54,25,22,0,0,3,0,0,29,87,41,121,76,36,122,83,58,87,12,19,34,26,103,31,93,56,3,72,75,79,31,42,4,3,2,83,2,12,13,3,191,55,17,40,41,14,52,84,32,12,9,114,41,17,7,57,94,21,5,55,9,6,289,87,137,110,55,33,38,3,7,2,154,3,68,64,13,20
text_42,447,28,9,9,0,0,0,0,0,19,31,31,102,32,25,78,28,19,66,4,17,25,22,101,70,51,17,7,28,28,50,20,27,0,8,2,16,4,0,2,3,150,60,12,24,11,27,22,21,9,1,3,26,13,4,0,9,45,8,7,22,9,3,180,34,71,80,50,16,19,2,5,0,210,7,106,82,42,14
