,1,2,3,4,5,6,7,8,19,9,11,12,13,14,15,17,18,131,132,90,91,92,133,140,141,142,22,23,24,25,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,56,60,61,62,63,70,71,72,73,74,80,81,82,83,84,85,100,101,102,103,110,111,112,113,114,115,120,121,122,123,124,125
text_01,2826,499,332,209,8,35,67,14,6,168,352,217,617,237,222,283,171,113,298,49,73,82,102,475,168,398,179,26,118,207,532,171,297,25,44,43,458,56,24,81,59,721,213,53,170,103,117,184,253,79,80,53,243,107,87,21,50,349,58,24,197,53,44,792,233,417,246,81,33,23,16,18,39,472,13,100,277,42,82
text_02,4103,717,452,313,9,20,95,15,5,265,550,295,886,381,302,444,321,202,448,85,103,121,140,602,195,539,324,21,215,332,735,228,417,35,61,77,608,51,30,112,75,1045,358,59,238,189,195,245,318,118,78,89,285,137,104,26,46,543,91,54,270,86,82,1203,316,669,413,129,28,74,30,18,29,557,10,43,391,67,80
text_03,1841,214,141,103,4,10,16,8,2,73,264,137,385,141,131,234,143,74,224,46,80,27,87,314,123,261,122,18,113,143,480,162,262,29,31,57,256,38,30,17,22,486,163,53,136,68,60,105,149,27,33,40,339,105,186,19,96,316,55,34,122,68,58,612,189,267,237,70,40,31,7,27,20,354,5,126,191,14,40
text_04,2693,430,297,187,10,89,7,4,31,133,316,199,569,250,145,308,178,102,323,69,97,67,121,461,178,371,188,25,133,210,598,200,308,19,31,73,316,11,15,22,8,818,255,69,212,156,131,164,178,53,32,64,277,103,141,15,53,355,58,52,178,65,43,775,199,335,320,69,31,23,10,47,46,413,3,42,288,31,78
text_05,1199,206,140,103,4,21,11,1,1,66,147,81,226,61,92,160,61,45,128,15,37,21,57,200,92,162,63,8,74,91,250,95,126,11,11,28,163,19,13,15,12,337,137,22,83,60,34,72,108,22,29,26,209,64,115,5,68,203,27,22,102,36,24,382,122,179,149,57,27,12,12,14,11,230,1,76,141,9,12
text_06,2270,402,289,234,4,14,27,10,6,113,277,201,438,175,214,232,120,71,261,27,90,50,98,365,164,293,130,32,96,137,411,127,238,33,20,35,293,30,16,34,27,679,239,42,182,87,64,154,154,45,39,54,185,87,69,11,34,265,40,44,119,39,46,590,165,304,196,41,24,15,7,15,20,379,2,53,273,37,46
text_07,3583,567,376,285,8,7,51,25,3,191,465,209,754,331,251,487,314,194,407,63,106,91,155,544,189,487,262,31,189,290,520,147,316,37,28,51,610,239,27,189,119,878,285,80,153,101,148,215,269,64,99,66,329,144,129,12,75,540,78,50,315,70,65,1127,320,568,397,140,53,105,24,22,8,573,2,100,335,74,102
text_08,2984,458,273,219,8,33,12,2,8,186,373,151,580,289,208,429,220,149,333,82,99,62,101,424,156,354,207,28,200,290,446,142,262,41,32,35,348,38,22,34,10,757,262,57,144,125,119,190,282,98,98,41,314,127,126,13,76,372,56,38,227,39,45,981,266,510,322,104,29,46,11,22,16,440,3,106,245,43,66
text_09,2083,294,168,130,0,6,23,9,0,126,241,140,451,184,150,235,171,120,220,34,68,52,70,347,117,294,139,31,123,145,375,129,206,24,29,43,258,29,13,66,8,539,186,42,115,101,64,122,193,50,50,47,210,97,92,11,40,293,19,22,169,72,29,654,208,350,197,64,31,27,9,12,14,293,10,27,206,27,43
text_10,1256,217,132,118,0,3,7,4,0,85,161,122,270,119,105,126,74,40,104,21,31,30,30,164,58,128,79,19,58,105,273,60,176,17,12,79,111,10,3,10,7,403,98,50,90,69,71,99,71,22,14,25,155,43,101,5,27,125,19,19,61,19,27,314,79,169,107,26,16,5,5,8,16,136,3,14,98,11,20
text_11,1014,145,107,87,1,0,16,3,0,38,113,71,253,98,87,95,72,40,119,27,33,24,37,219,98,155,68,12,36,57,226,84,118,18,7,29,145,42,5,60,6,303,103,28,54,56,61,72,107,23,35,36,105,48,47,4,13,159,12,14,92,26,22,299,77,153,110,18,10,14,1,11,5,186,1,43,125,9,10
text_12,1251,153,83,66,0,8,5,4,2,70,152,86,231,83,117,154,93,56,150,13,55,27,56,274,116,210,63,19,65,83,256,81,149,12,17,34,154,18,10,20,8,374,140,42,74,44,41,83,122,26,32,46,146,60,56,9,37,202,19,35,129,18,20,397,136,180,133,56,29,22,7,7,6,192,6,12,144,20,33
text_13,901,201,124,98,1,13,11,1,0,77,123,65,174,66,74,102,43,38,64,9,19,19,20,119,33,103,73,6,47,72,222,71,132,20,18,25,159,11,2,9,17,285,94,19,61,48,41,68,62,15,13,25,99,34,47,11,13,130,24,19,63,17,25,216,56,115,76,23,9,7,3,10,6,93,1,7,70,11,9
text_14,3969,571,367,284,8,21,51,5,0,206,468,275,869,339,317,444,276,160,487,98,142,73,193,691,310,553,208,43,230,282,749,243,432,59,34,50,471,56,17,105,36,1113,357,101,229,186,127,292,331,69,97,96,421,163,161,31,106,527,70,44,300,80,83,1220,361,629,391,122,49,64,18,28,29,754,10,190,457,63,103
text_15,276,27,16,14,0,0,1,1,0,11,37,21,57,24,22,37,16,15,25,2,9,3,11,62,15,57,14,5,22,33,72,11,55,1,14,12,27,7,3,4,1,79,27,10,14,11,17,19,25,3,3,10,58,16,38,3,17,44,5,11,23,4,5,68,16,32,25,19,1,2,9,2,9,42,1,7,27,2,10
