,1,2,3,4,5,6,7,8,19,9,11,12,13,14,15,17,18,131,132,90,91,92,133,140,141,142,22,23,24,25,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,56,60,61,62,63,70,71,72,73,74,80,81,82,83,84,85,100,101,102,103,110,111,112,113,114,115,120,121,122,123,124,125
text_01,2874,499,332,209,8,35,67,14,6,168,354,220,635,254,225,285,172,113,300,49,74,82,102,476,169,398,184,26,120,209,559,175,320,30,47,54,460,56,24,81,59,746,225,63,173,105,124,185,265,85,82,53,272,111,112,21,52,355,58,29,199,53,44,801,233,419,254,85,35,23,17,18,41,489,15,110,282,43,82
text_02,4167,717,452,313,9,20,95,15,5,265,554,296,916,400,312,447,322,202,450,86,104,121,140,602,195,539,334,21,220,338,760,238,432,36,67,80,610,51,30,112,75,1075,366,64,239,197,208,245,323,118,79,90,306,143,115,27,51,549,92,54,270,86,87,1225,323,677,425,133,29,74,30,18,29,572,10,43,405,68,81
text_03,1868,214,141,103,4,10,16,8,2,73,264,137,405,144,131,234,143,74,230,47,80,31,87,316,125,261,123,18,113,146,512,165,290,31,35,70,261,39,30,17,22,505,171,55,136,68,70,105,167,27,35,44,431,122,259,21,102,322,56,38,123,68,58,633,196,270,248,77,40,32,7,27,25,380,5,145,198,16,40
text_04,2738,430,297,187,10,89,7,4,31,133,317,199,588,262,147,308,179,102,324,69,98,67,121,471,188,371,191,25,135,214,614,205,319,19,32,81,316,11,15,22,8,833,263,74,212,156,137,165,178,53,32,64,297,104,159,15,54,355,58,52,178,65,43,781,199,337,324,69,33,23,11,47,47,430,3,44,303,40,78
text_05,1216,206,140,103,4,21,11,1,1,66,148,81,235,65,92,161,61,45,128,15,37,21,57,202,94,162,68,8,75,96,261,96,136,11,11,36,163,19,13,15,12,347,142,26,83,64,35,72,109,22,29,27,230,66,133,5,71,204,28,22,102,36,24,395,123,183,161,57,27,12,14,14,13,245,2,88,143,11,12
text_06,2304,402,289,234,4,14,27,10,6,113,277,201,445,182,214,233,121,71,262,27,91,50,98,380,179,293,132,32,98,141,434,130,258,37,27,40,304,30,16,36,27,684,239,42,182,88,68,154,156,45,40,54,199,90,79,11,36,266,40,44,120,39,46,596,166,307,198,41,24,16,7,15,22,403,2,57,293,52,46
text_07,3645,567,376,285,8,7,51,25,3,191,470,212,771,350,258,489,319,196,414,66,109,92,155,549,194,487,277,31,193,302,548,152,336,37,32,61,616,239,27,191,119,896,289,81,156,107,151,217,274,64,99,68,358,149,150,12,78,553,78,58,323,70,65,1148,328,581,406,148,54,105,24,23,9,594,3,111,344,79,102
text_08,3018,458,273,219,8,33,12,2,8,186,377,151,595,299,208,429,222,149,336,82,102,62,101,425,157,354,216,28,206,297,459,143,274,41,35,41,348,38,22,34,10,775,271,66,144,130,121,191,295,98,100,44,352,131,156,13,82,373,57,38,227,39,45,1005,271,523,333,105,33,55,11,22,19,457,3,121,247,44,66
text_09,2131,294,168,130,0,6,23,9,0,126,245,140,462,200,153,235,171,120,220,34,68,52,70,349,119,294,149,31,137,152,394,133,219,25,32,49,258,29,13,66,8,551,190,45,115,103,68,124,200,51,52,49,227,102,104,11,40,300,20,22,174,72,30,664,210,354,201,66,35,32,9,12,14,300,10,28,212,29,43
text_10,1276,217,132,118,0,3,7,4,0,85,162,124,283,122,106,126,75,40,106,22,32,30,30,164,58,128,80,19,58,106,302,62,203,17,13,101,112,10,3,10,7,417,102,53,92,69,78,100,74,23,14,26,162,43,107,5,28,127,19,19,63,19,27,319,79,170,111,26,16,5,5,8,16,140,4,14,100,12,21
text_11,1022,145,107,87,1,0,16,3,0,38,113,71,257,99,87,95,72,40,120,28,33,24,37,221,100,155,68,12,36,57,234,88,122,19,8,33,146,42,5,60,6,310,109,32,54,57,61,72,110,24,36,36,105,48,47,4,13,160,12,14,93,26,22,303,77,153,114,18,10,14,1,11,5,199,1,51,130,11,10
text_12,1298,153,83,66,0,8,5,4,2,70,154,86,244,90,118,154,93,56,151,13,55,28,56,301,143,210,66,19,65,84,276,83,167,12,24,39,157,18,11,20,8,384,147,49,74,45,43,83,125,26,33,47,150,60,59,9,38,209,20,37,133,18,20,400,137,180,135,58,30,24,7,7,6,222,7,12,173,47,33
text_13,909,202,124,98,1,13,11,1,0,78,123,65,179,67,74,102,43,38,64,9,19,19,20,119,33,103,74,7,47,74,232,72,141,21,19,30,161,11,2,9,17,290,95,20,61,50,43,68,62,15,13,25,100,34,48,11,13,131,24,19,64,17,25,217,56,116,77,23,9,7,3,10,7,96,2,8,71,11,9
text_14,4020,572,367,284,8,21,51,5,0,207,471,275,883,357,319,445,279,161,490,98,144,73,193,701,320,553,214,43,232,286,776,248,454,61,36,58,473,56,17,106,36,1125,362,105,229,190,131,292,342,71,99,97,476,169,208,31,109,535,70,50,301,80,84,1242,367,638,403,132,54,67,19,28,30,800,12,222,469,73,103
text_15,278,27,16,14,0,0,1,1,0,11,37,21,59,24,22,37,16,15,25,2,9,3,11,62,15,57,14,5,22,33,75,11,58,1,14,15,27,7,3,4,1,83,28,11,14,11,19,19,25,3,3,10,60,16,40,3,17,44,5,11,23,4,5,70,16,32,27,19,1,2,11,2,9,44,1,8,28,2,10
