,1,2,3,4,5,6,7,8,19,9,11,12,13,14,15,17,18,131,132,90,91,92,133,140,141,142,22,23,24,25,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,56,60,61,62,63,70,71,72,73,74,80,81,82,83,84,85,100,101,102,103,110,111,112,113,114,115,120,121,122,123,124,125
text_01,2794,499,332,209,8,35,67,14,6,168,350,214,612,235,220,283,171,113,296,49,73,80,102,452,145,398,179,26,118,207,529,171,294,25,43,42,458,56,24,81,59,714,213,52,167,101,116,183,253,79,80,53,232,108,75,21,50,347,58,23,195,53,44,783,233,414,240,78,33,23,16,18,38,443,13,71,277,42,82
text_02,4072,716,452,313,9,20,95,15,5,264,546,294,880,378,302,444,321,202,448,85,103,121,140,581,174,539,324,21,214,332,726,228,409,34,60,71,608,51,30,112,75,1038,355,59,237,189,192,242,316,116,78,89,283,137,103,25,46,542,91,53,270,85,82,1200,315,667,413,122,28,74,28,18,29,554,10,40,391,67,80
text_03,1820,214,141,103,4,10,16,8,2,73,263,135,384,141,129,234,143,74,224,46,80,27,87,299,108,261,121,18,113,142,464,162,248,29,22,52,252,34,30,17,22,484,163,53,134,68,60,105,144,27,32,40,288,98,141,18,89,313,55,31,121,67,58,607,187,267,234,67,40,31,5,27,20,324,5,96,191,14,40
text_04,2668,430,297,187,10,89,7,4,31,133,315,197,566,249,143,308,178,102,323,69,97,67,121,443,160,371,188,25,133,210,591,200,305,19,29,73,315,10,15,22,8,815,255,68,210,156,131,164,178,53,32,64,262,103,126,15,51,352,58,49,177,63,43,773,198,335,319,66,31,23,7,47,46,408,3,37,288,31,78
text_05,1187,206,140,103,4,21,11,1,1,66,146,80,224,60,92,160,61,45,128,15,37,21,57,192,84,162,63,8,74,91,249,95,126,11,11,28,160,16,13,15,12,335,137,21,82,60,34,72,108,22,29,26,199,64,105,5,69,201,27,21,101,35,24,381,123,178,148,56,27,12,10,14,11,210,1,56,141,9,12
text_06,2236,402,289,234,4,14,27,10,6,113,277,199,438,173,213,232,120,71,261,27,90,50,98,338,137,293,128,32,95,135,411,127,238,33,20,35,293,30,16,34,27,674,238,42,180,87,64,152,154,45,39,54,179,86,64,11,34,264,40,43,118,39,46,586,163,303,194,41,24,15,6,15,20,372,2,46,273,37,46
text_07,3540,566,376,285,8,7,51,25,3,190,462,208,744,327,249,487,314,194,406,63,106,90,155,518,163,487,261,31,188,290,518,147,315,37,28,50,598,227,27,189,119,871,285,77,152,101,146,214,267,64,99,66,320,142,122,12,75,539,78,49,314,70,65,1123,320,568,393,135,53,102,23,22,8,555,2,82,335,74,102
text_08,2952,455,273,219,8,33,12,2,8,183,371,147,576,288,205,429,219,149,333,82,99,62,101,404,136,354,207,26,200,290,442,141,261,41,31,35,341,32,22,34,10,750,260,56,140,125,119,190,277,96,97,41,302,125,117,13,75,366,55,35,223,39,44,972,267,503,319,103,27,47,9,22,16,424,3,90,245,43,66
text_09,2046,294,168,130,0,6,23,9,0,126,240,138,448,180,148,235,171,120,220,34,68,52,70,324,94,294,139,31,118,145,373,129,205,24,29,43,258,29,13,66,8,533,186,41,113,101,64,119,191,50,49,47,203,94,87,11,39,287,19,16,167,68,29,649,208,346,196,60,31,27,4,12,14,288,10,22,206,27,43
text_10,1224,217,132,118,0,3,7,4,0,85,159,115,261,118,101,126,74,40,102,21,31,28,30,148,42,128,79,19,58,105,271,60,176,17,12,79,108,8,3,10,7,391,98,48,83,67,68,99,69,22,14,25,133,43,79,5,27,124,19,18,61,19,27,310,79,168,104,26,16,5,5,8,16,136,3,14,98,11,20
text_11,997,145,107,87,1,0,16,3,0,38,113,69,253,98,86,95,72,40,119,27,33,24,37,204,83,155,68,12,36,57,226,84,118,18,7,29,145,42,5,60,6,301,103,28,52,56,61,72,106,22,35,36,104,48,46,4,13,158,12,13,91,26,22,298,77,153,109,18,8,14,1,11,5,174,1,31,125,9,10
text_12,1226,153,83,66,0,8,5,4,2,70,152,85,228,83,116,154,92,56,150,13,55,27,56,255,97,210,63,19,65,83,252,80,148,12,17,34,154,18,10,20,8,373,140,42,73,44,41,83,122,26,32,46,142,60,52,9,36,201,19,34,129,17,20,397,136,180,133,55,28,22,6,7,6,192,6,12,144,20,33
text_13,890,200,124,98,1,13,11,1,0,76,122,65,173,66,74,102,43,38,64,9,19,19,20,111,25,103,73,6,47,72,220,71,130,19,17,25,158,11,2,9,17,284,93,19,61,48,41,68,62,15,13,25,95,34,43,11,13,128,24,18,63,16,24,214,56,113,76,22,9,7,2,10,6,93,1,7,70,11,9
text_14,3910,571,367,284,8,21,51,5,0,206,464,273,864,332,315,444,276,160,487,98,142,73,193,647,266,553,208,43,229,282,744,243,428,59,34,48,470,56,17,104,36,1102,356,97,227,186,126,289,324,68,95,95,412,163,153,31,105,523,70,41,297,79,83,1217,360,629,389,120,49,64,14,28,29,705,10,141,457,63,103
text_15,271,27,16,14,0,0,1,1,0,11,37,21,55,24,22,37,16,15,25,2,9,3,11,59,12,57,14,5,22,33,71,11,54,1,14,12,27,7,3,4,1,79,27,10,14,11,17,19,25,3,3,10,54,15,35,3,16,44,5,11,23,4,5,67,16,32,24,18,1,2,9,2,9,40,1,5,27,2,10
